id,value,feed_id,created_at,lat,lon,ele
0EPJSAQVV09XFB7F0MN8XMG223,1000.79,1589961,2021-03-28 09:57:31 UTC,,,
0EPJSAYYV1ZQJJ79HKDNNDCE4A,1000.84,1589961,2021-03-28 09:57:54 UTC,,,
0EPJSB62VHY3NZPR4Y183DVV59,1000.75,1589961,2021-03-28 09:58:18 UTC,,,
0EPJSBD6XD92MBREBMS5X1DDQA,1000.79,1589961,2021-03-28 09:58:41 UTC,,,
0EPJSBMAZ8XR4GRF2HYN9DGJSG,1000.78,1589961,2021-03-28 09:59:04 UTC,,,
0EPJSBVFV55SQ24SM9Z8KW7Z68,1000.78,1589961,2021-03-28 09:59:28 UTC,,,
0EPJSC2KWHMCQ94B2QD5EPR7RD,1000.77,1589961,2021-03-28 09:59:51 UTC,,,
0EPJSC9RXSN7DTZA668BNFBMG8,1000.76,1589961,2021-03-28 10:00:14 UTC,,,
0EPJSCGWVBHC24994TE4B73QXM,1000.76,1589961,2021-03-28 10:00:38 UTC,,,
0EPJSCR1YDSAB0N3C7Z7Z73Q0E,1000.74,1589961,2021-03-28 10:01:01 UTC,,,
0EPJSCZ5WNSX4WST55ENDZBF6T,1000.77,1589961,2021-03-28 10:01:25 UTC,,,
0EPJSD69ZVHDN9TZJW48SH9Y32,1000.73,1589961,2021-03-28 10:01:48 UTC,,,
0EPJSDDEVQ0F1Y6ZFMH70V5JJR,1000.75,1589961,2021-03-28 10:02:11 UTC,,,
0EPJSDMK1B9M28VDE43BMXZTSM,1000.76,1589961,2021-03-28 10:02:35 UTC,,,
0EPJSDVNXN1JHAB0TG6A5647VN,1000.75,1589961,2021-03-28 10:02:58 UTC,,,
0EPJSE2SWQCN9XTEGPTMRT4ES2,1000.77,1589961,2021-03-28 10:03:21 UTC,,,
0EPJSE9YY8QDBM6MWA7VC8N6BS,1000.78,1589961,2021-03-28 10:03:45 UTC,,,
0EPJSEH35PGFE8TXN53QYGAZNC,1000.76,1589961,2021-03-28 10:04:08 UTC,,,
0EPJSER7YK477GDEHQ5MCVNTD7,1000.73,1589961,2021-03-28 10:04:32 UTC,,,
0EPJSEZBZR3GP8TDS3SQDC2ZS5,1000.77,1589961,2021-03-28 10:04:55 UTC,,,
0EPJSF6FX0S4EPXN15YQCJG1WR,1000.71,1589961,2021-03-28 10:05:18 UTC,,,
0EPJSFDKW01QYXKQJH50NY3DPP,1000.76,1589961,2021-03-28 10:05:42 UTC,,,
0EPJSFMQ24X2JB3JVEM9VMJ8QY,1000.73,1589961,2021-03-28 10:06:05 UTC,,,
0EPJSFVSY85T1D99NYD356MVHS,1000.8,1589961,2021-03-28 10:06:28 UTC,,,
0EPJSG2Y0GQKD3YB4VWDMFYJX8,1000.75,1589961,2021-03-28 10:06:52 UTC,,,
0EPJSGA2VYCMPCWV0T1KT8GTVJ,1000.75,1589961,2021-03-28 10:07:15 UTC,,,
0EPJSGH6WNVRMGD1RYFBBD732G,1000.74,1589961,2021-03-28 10:07:38 UTC,,,
0EPJSGRC30DA3DGCRTC738R8M9,1000.72,1589961,2021-03-28 10:08:02 UTC,,,
0EPJSGZG0YZ8W8CMHA20SXVAZN,1000.73,1589961,2021-03-28 10:08:25 UTC,,,
0EPJSH6KZEW9ZGES9V4Z4XE5N6,1000.73,1589961,2021-03-28 10:08:48 UTC,,,
0EPJSHDQX3Z6HDY1SZFES2N0WP,1000.72,1589961,2021-03-28 10:09:12 UTC,,,
0EPJSHMVXC8CY5TRJ7W600ZGCW,1000.72,1589961,2021-03-28 10:09:35 UTC,,,
0EPJSHW0ADQZ6Y58BXBRAA4XG6,1000.75,1589961,2021-03-28 10:09:59 UTC,,,
0EPJSJ33Z5WT254EDX7MFBBNMH,1000.76,1589961,2021-03-28 10:10:22 UTC,,,
0EPJSJA8055MMHM18PGFN7E9GY,1000.75,1589961,2021-03-28 10:10:45 UTC,,,
0EPJSJHC097K5M0GPK9FJYJAGH,1000.76,1589961,2021-03-28 10:11:09 UTC,,,
0EPJSJRFYD03CJWAH35B7QVH4G,1000.75,1589961,2021-03-28 10:11:32 UTC,,,
0EPJSJZM1H1CX4VZXCKZ10MFTE,1000.79,1589961,2021-03-28 10:11:55 UTC,,,
0EPJSK6QY0988K3CH096XYXSAV,1000.78,1589961,2021-03-28 10:12:19 UTC,,,
0EPJSKDV01FJM548KZ409G0X8S,1000.79,1589961,2021-03-28 10:12:42 UTC,,,
0EPJSKMZ05G6M8VWC9B7SG6HH5,1000.77,1589961,2021-03-28 10:13:05 UTC,,,
0EPJSKW2ZE1YHZV1V8BSZTZ8P1,1000.75,1589961,2021-03-28 10:13:29 UTC,,,
0EPJSM3705H8N3TPJT5SY1PHAQ,1000.74,1589961,2021-03-28 10:13:52 UTC,,,
0EPJSMAB04FHWBHKZ46TZJAEY2,1000.71,1589961,2021-03-28 10:14:15 UTC,,,
0EPJSMHEZ4YX224ZVEA2W2RRR9,1000.73,1589961,2021-03-28 10:14:39 UTC,,,
0EPJSMRK30WYK3WCZ31EHX4201,1000.76,1589961,2021-03-28 10:15:02 UTC,,,
0EPJSMZQYNQ3AZDBWY6R176ZX5,1000.75,1589961,2021-03-28 10:15:25 UTC,,,
0EPJSN6V1HRNYFARRH3SN05N3S,1000.76,1589961,2021-03-28 10:15:49 UTC,,,
0EPJSNE0ZNFBP88Y8DRJHAGT03,1000.75,1589961,2021-03-28 10:16:12 UTC,,,
0EPJSNN41AARQ1YV3VS3Y1W12B,1000.72,1589961,2021-03-28 10:16:35 UTC,,,
0EPJSNW80GX4T8BTHGSMRVSWB0,1000.74,1589961,2021-03-28 10:16:59 UTC,,,
0EPJSP3B0HZD27166X0N4K0ND6,1000.75,1589961,2021-03-28 10:17:22 UTC,,,
0EPJSPAG6D64FMBB9CE3N80KX3,1000.7,1589961,2021-03-28 10:17:45 UTC,,,
0EPJSPHM2092SQ01BHKCJ2735B,1000.71,1589961,2021-03-28 10:18:09 UTC,,,
0EPJSPRQ42EGJE6ZWZ26DYW0AQ,1000.71,1589961,2021-03-28 10:18:32 UTC,,,
0EPJSPZV25JWWCRCZNBEPTJSQX,1000.72,1589961,2021-03-28 10:18:55 UTC,,,
0EPJSQ6XZRP7CFQXZ7FZY28Z7V,1000.73,1589961,2021-03-28 10:19:19 UTC,,,
0EPJSQE14XA5T15VBNDT5GA9VP,1000.69,1589961,2021-03-28 10:19:42 UTC,,,
0EPJSQN5EPQ1J89W9X6WBRFWCH,1000.72,1589961,2021-03-28 10:20:05 UTC,,,
0EPJSQWA22KD22T7CYC7EK8V6S,1000.74,1589961,2021-03-28 10:20:29 UTC,,,
0EPJSR3F0N47NQ9THWH56NJV68,1000.68,1589961,2021-03-28 10:20:52 UTC,,,
0EPJSRAK6D5W9JKVSE2R76ZZ1Y,1000.68,1589961,2021-03-28 10:21:15 UTC,,,
0EPJSRHQ4DTSPJKEPAZTY9AYA1,1000.69,1589961,2021-03-28 10:21:39 UTC,,,
0EPJSRRT3Z0BE1NHK01QR2RATW,1000.67,1589961,2021-03-28 10:22:02 UTC,,,
0EPJSRZY1RQN1BDABHTJ9M06BS,1000.7,1589961,2021-03-28 10:22:25 UTC,,,
0EPJSS73ZV01KSKNKX514BHMJD,1000.61,1589961,2021-03-28 10:22:49 UTC,,,
0EPJSSE85CJQR84J34T1SZPBH8,1000.67,1589961,2021-03-28 10:23:12 UTC,,,
0EPJSSNC247QXDNTGD5JN9SXZ5,1000.67,1589961,2021-03-28 10:23:36 UTC,,,
0EPJSSWH2E9GQ2AJRVX1EXF9B3,1000.65,1589961,2021-03-28 10:23:59 UTC,,,
0EPJST3N12Z09PVQH3SP0HDWKJ,1000.66,1589961,2021-03-28 10:24:22 UTC,,,
0EPJSTAS0SC4AR2X7WDRAX8WHJ,1000.6,1589961,2021-03-28 10:24:46 UTC,,,
0EPJSTK0PFD765QP15BXRTWMKA,1000.65,1589961,2021-03-28 10:25:13 UTC,,,
0EPJSTTD87E64KM9M6BMEDVS2E,1000.66,1589961,2021-03-28 10:25:37 UTC,,,
0EPJSV1M3C7SF8FKT7JKR1TM1D,1000.67,1589961,2021-03-28 10:26:01 UTC,,,
0EPJSV8W156CA4RPETBDZ95W0S,1000.41,1589961,2021-03-28 10:26:24 UTC,,,
0EPJSVG233C5Y8FFA6KACF4F7C,1000.62,1589961,2021-03-28 10:26:48 UTC,,,
0EPJSVQD4QDKFXW6X0WRXPH2QP,1000.68,1589961,2021-03-28 10:27:12 UTC,,,
0EPJSVYJ22DJQ4WQWYNTT3EFDG,1000.73,1589961,2021-03-28 10:27:35 UTC,,,
0EPJSW5P3K971AHAJC3Q3CE5C2,1000.7,1589961,2021-03-28 10:27:59 UTC,,,
0EPJSWCR362ZT8WAP4BNKHJ02H,1000.7,1589961,2021-03-28 10:28:22 UTC,,,
0EPJSWKW4BRMNAE296TV3GV0NW,1000.7,1589961,2021-03-28 10:28:45 UTC,,,
0EPJSWTZB28DZJB4A032EYKCR0,1000.71,1589961,2021-03-28 10:29:09 UTC,,,
0EPJSX235GN4ZS6D02JE35KE1H,1000.69,1589961,2021-03-28 10:29:32 UTC,,,
0EPJSX9847TEG45JWFT7ZFSHF0,1000.66,1589961,2021-03-28 10:29:55 UTC,,,
0EPJSXGA30FBAR5DJXS6DYZRXQ,1000.72,1589961,2021-03-28 10:30:18 UTC,,,
0EPJSXQF5PBGZVEH4AXM5CCHMT,1000.69,1589961,2021-03-28 10:30:42 UTC,,,
0EPJSXYKAE88MSRX6DP0C3BDH3,1000.7,1589961,2021-03-28 10:31:05 UTC,,,
0EPJSY5R3KRQSZSY8SH2S8F8SN,1000.71,1589961,2021-03-28 10:31:29 UTC,,,
0EPJSYCXFH6P4Z44V1X1VXJ1PQ,1000.67,1589961,2021-03-28 10:31:52 UTC,,,
0EPJSYM13EFTNSVFE0YEX28ECC,1000.68,1589961,2021-03-28 10:32:16 UTC,,,
0EPJSYV75F4EWF5GW1KVMH26ZZ,1000.72,1589961,2021-03-28 10:32:39 UTC,,,
0EPJSZ2C5DCQ3YQZ9JRX0SXG2F,1000.71,1589961,2021-03-28 10:33:03 UTC,,,
0EPJSZ9G34FC3MTAHDAHE39FMX,1000.67,1589961,2021-03-28 10:33:26 UTC,,,
0EPJSZGP4JD3ND3MY6PR2D5EE0,1000.71,1589961,2021-03-28 10:33:49 UTC,,,
0EPJSZQT7XTKMT7H2FRS27F55V,1000.7,1589961,2021-03-28 10:34:13 UTC,,,
0EPJSZYZ4E7SB4RQ3GV5BARSDC,1000.73,1589961,2021-03-28 10:34:36 UTC,,,
0EPJT0633QWSP6Q0CHQR61553F,1000.67,1589961,2021-03-28 10:35:00 UTC,,,
0EPJT0D637T1NQDCNDWZ0RG6V7,1000.66,1589961,2021-03-28 10:35:23 UTC,,,
0EPJT0MB4YDKF36SMZFABCEEQ9,1000.75,1589961,2021-03-28 10:35:46 UTC,,,
0EPJT0VEM4Y8Y461K5EQZWVB7J,1000.71,1589961,2021-03-28 10:36:10 UTC,,,
0EPJT12K48GXZ6509WNCP24693,1000.63,1589961,2021-03-28 10:36:33 UTC,,,
0EPJT19P8PVJZ97CG8K5NGRFD8,1000.62,1589961,2021-03-28 10:36:56 UTC,,,
0EPJT1GRGH7NJPJH2JG0QBHAM1,1000.57,1589961,2021-03-28 10:37:19 UTC,,,
0EPJT1QWAEAGPCR2YT7A0XQNED,1000.58,1589961,2021-03-28 10:37:43 UTC,,,
0EPJT1YZ8EEQ6WQ937T81A2NXY,1000.65,1589961,2021-03-28 10:38:06 UTC,,,
0EPJT2635BZY49JSPA55SX4J2M,1000.62,1589961,2021-03-28 10:38:29 UTC,,,
0EPJT2D6906RSE3Y5KQTFQV9E5,1000.71,1589961,2021-03-28 10:38:53 UTC,,,
0EPJT2M97VAGQFCRRFJTRB7WDS,1000.61,1589961,2021-03-28 10:39:16 UTC,,,
0EPJT2VD79Q33KF9H5WWA1MEEM,1000.6,1589961,2021-03-28 10:39:39 UTC,,,
0EPJT32HRZFR8WP01ZAM0G9KX1,1000.69,1589961,2021-03-28 10:40:03 UTC,,,
0EPJT39P97F7S8STDWWFGMQPP8,1000.71,1589961,2021-03-28 10:40:26 UTC,,,
0EPJT3GT7YD4BAM6EPFHA79N4P,1000.73,1589961,2021-03-28 10:40:49 UTC,,,
0EPJT3R082S53QXC5CASWBCPSZ,1000.71,1589961,2021-03-28 10:41:13 UTC,,,
0EPJT3Z3650GYFDKX7FR09SXR5,1000.72,1589961,2021-03-28 10:41:36 UTC,,,
0EPJT465DKGYYA26WJB8PWWA7M,1000.68,1589961,2021-03-28 10:41:59 UTC,,,
0EPJT4D957NM2C06J6CS7Q4JG9,1000.8,1589961,2021-03-28 10:42:23 UTC,,,
0EPJT4MBJXD4DDEV3F5AK7AMG8,1000.77,1589961,2021-03-28 10:42:46 UTC,,,
0EPJT4VFG763MSETGRV5G1KV7C,1000.78,1589961,2021-03-28 10:43:09 UTC,,,
0EPJT52K5PN16N2K816QZ9BRKW,1000.72,1589961,2021-03-28 10:43:32 UTC,,,
0EPJT59R8S9WD6J9QD32Q66C54,1000.78,1589961,2021-03-28 10:43:56 UTC,,,
0EPJT5GW7NZQ6XNR25DMW9Y2T4,1000.81,1589961,2021-03-28 10:44:19 UTC,,,
0EPJT5R0BW0GEKZ6FYVRPZRFYD,1000.87,1589961,2021-03-28 10:44:43 UTC,,,
0EPJT5Z3DXAE6JJNXSRBPN4SS4,1000.85,1589961,2021-03-28 10:45:06 UTC,,,
0EPJT667JSV4TJ3B5XWQPVFHEW,1000.81,1589961,2021-03-28 10:45:29 UTC,,,
0EPJT6DCD97ZE3DTCBWP5WW38N,1000.78,1589961,2021-03-28 10:45:53 UTC,,,
0EPJT6MG6640NPRND3N6QJW7D2,1000.81,1589961,2021-03-28 10:46:16 UTC,,,
0EPJT6VM7KZ09QMDKCH23D47A8,1000.78,1589961,2021-03-28 10:46:39 UTC,,,
0EPJT72W8BSXV80KVC4B90REBW,1000.79,1589961,2021-03-28 10:47:03 UTC,,,
0EPJT79ZAMRGBK3FRK94KQE294,1000.83,1589961,2021-03-28 10:47:26 UTC,,,
